GLOTTOCODE,longitude,latitude,LID,autotyp.language,glottolog.language.x,subarea,area,continent,continent.revised,area.revised,continent.change,area.change,glottolog.stock,ISO.g,glottolog.language.y
akhv1239,46.33,42.33,872,Akhvakh,Akhvakh,Caucasus,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Nakh-Daghestanian [nakh1245],akv,Akhvakh [akhv1239][akv]
akka1237,32.45,67.3,708,Saami (Akkala),Akkala Sami,,Inner Asia,N-C Asia,N-C Asia,Inner Asia,0,0,Uralic [ural1272],sia,Akkala Sami [akka1237][sia]
akka1240,44.37,32.5,15,Akkadian,,,Greater Mesopotamia,W and SW Eurasia,W and SW Eurasia,Greater Mesopotamia,0,0,Afro-Asiatic [afro1255],akk,Akkadian [akka1240][akk]
akkk1240,141.784,-3.57026,0,,Ak,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Sepik [sepi1257],akq,Ak [akkk1240][akq]
akla1241,122.33,11.58,870,Aklanon,Aklanon,,Oceania,S/SE Asia,S/SE Asia,Oceania,0,0,Austronesian [aust1307],akl,Aklanon [akla1241][akl]
akol1237,150.182,-6.22711,0,,Akolet,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Austronesian [aust1307],akt,Akolet [akol1237][akt]
akoo1248,9.65522,4.9243,0,,Akoose,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],bss,Akoose [akoo1248][bss]
akoy1238,145.66,-7.66,3052,Akoye,Akoye,,Interior New Guinea,NG and Oceania,NG and Oceania,S New Guinea,0,1,Angan [anga1289],miw,Akoye [akoy1238][miw]
akpa1238,8.01629,7.32586,0,,Akpa,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],akf,Akpa [akpa1238][akf]
akpe1248,5.95559,7.50256,0,,Akpes,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ibe,Akpes [akpe1248][ibe]
akpo1243,8.545454,9.235232,0,,Akpondu,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],'Akpondu [akpo1243]',Akpondu [akpo1243]
akru1241,144.821,-4.88687,0,,Akrukay,,N Coast New Guinea,NG and Oceania,NG and Oceania,N Coast New Guinea,0,0,Lower Sepik-Ramu [lowe1437],afi,Akrukay [akru1241][afi]
akuk1235,6.34264,7.40354,0,,Akuku,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],ayk,Akuku [akuk1235][ayk]
akum1238,9.96261,6.85716,0,,Akum,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],aku,Akum [akum1238][aku]
akun1241,-60.9716,-12.8322,0,,Akuntsu,,NE South America,S America,S America,NE South America,0,0,Tupian [tupi1275],aqz,Akuntsu [akun1241][aqz]
akur1238,-55.6294,3.19607,0,,Akurio,,NE South America,S America,S America,NE South America,0,0,Cariban [cari1283],ako,Akurio [akur1238][ako]
akwa1248,6.33,10.08,2321,Akwa,Akwa,,African Savannah,Africa,Africa,African Savannah,0,0,Atlantic-Congo [atla1278],akw,Akwa [akwa1248][akw]
